Month,Day,Hour,Lat,Lon,Pres (hPa),Wind (kt)
8,20,12,15.7,44.8,1010,25
8,20,18,15.6,46.8,1009,30
8,21,0,15.2,48.5,1008,30
8,21,6,14.9,50.1,1007,30
8,21,12,15,51.6,1006,30
8,21,18,15.2,53.1,1005,35
8,22,0,15.4,54.8,1004,40
8,22,6,15.7,56.6,1003,45
8,22,12,15.9,58.6,1004,45
8,22,18,16.1,60.4,1004,45
8,23,0,15.7,62,1004,45
8,23,6,15,63.4,1004,45
8,23,12,15.1,65,1003,45
8,23,18,15.6,66.4,1003,45
8,24,0,15.7,67.8,1002,45
8,24,6,15.4,69.1,998,45
8,24,12,15.7,70.4,995,50
8,24,18,16.6,71.2,993,55
8,25,0,17.3,71.8,992,55
8,25,6,18.3,72.7,991,55
8,25,12,19.6,73.9,997,50
8,25,18,20.8,75.2,997,50
8,26,0,21.8,76.7,997,50
8,26,6,22.7,78.3,995,55
8,26,12,23.4,80,995,55
8,26,18,23.7,81.4,992,50
8,27,0,24.2,82.6,990,50
8,27,6,25,83.6,989,50
8,27,12,25.7,84.7,987,55
8,27,18,26.3,85.7,982,60
8,28,0,26.8,86.7,979,60
8,28,6,27.4,87.6,978,60
8,28,12,28,88.3,975,65
8,28,18,28.6,88.8,972,70
8,29,0,28.9,89.4,967,70
8,29,6,29.1,90,969,70
8,29,12,29.4,90.5,968,65
8,29,18,29.7,90.8,973,60
8,30,0,30.1,91.1,977,55
8,30,6,30.6,91.5,982,55
8,30,12,31.3,91.9,987,45
8,30,18,32.1,92.4,993,35
8,31,0,33.1,92.9,998,30
8,31,6,34.3,93.5,1000,25
8,31,12,35.6,94,1001,20
8,31,18,36.8,94.1,1003,20
9,1,0,37.8,93.9,1004,20
9,1,6,38.4,93.3,1005,20
